judul,rating,genre,poster_url,musim_tayang,jenis_tayangan,sinopsis,studio,fitur
Mahoutsukai Sally 2,6.52,Comedy,https://cdn.myanimelist.net/images/anime/6/6929.jpg,Winter 1990,TV,"During Sally's coronation ceremony in the magic world, she hears her human friends back on Earth are in trouble. Despite the warnings from her parents, she escapes to Earth to help her friends. Because she was caught using magic in front of humans, she had to erase her friends' memories. Now Sally will remain on Earth so she can regain Sumire and Yoshiko's friendship while helping other humans in trouble.

This is a sequel and reboot of the original series.",Toei Animation,salli coron ceremoni magic world hear human friend back earth troubl despit warn parent escap earth help friend caught use magic front human eras friend memori salli remain earth regain sumir yoshiko friendship help human troubl sequel reboot origin seri comedi toei anim tv
Miracle Giants Doumu-kun,7.21,Sports,https://cdn.myanimelist.net/images/anime/5/29829.jpg,Winter 1990,TV,"Doumu Shinjou is the 10-year-old son of a legendary deceased player of the Yomiuri Giants. From his father he inherited a love of baseball and an incredible talent for the sport, although both his mother and his older sister try to get him to give it up. 
However, before dying, his father had the time to teach him one last trick- a magic shot. After his mother gives him the glove his father used, Doumu makes that shot in a training session of the Giants and is contracted immediately. With the support of the veteran players of the team, the Giants become unbeatable at home- none of the main batters of the Japanese professional league can overcome his magic shot. However, away games are another matter, as Doumu is just allowed to play at home, in the Tokyo Dome in which his father was consecrated.
 New rivals, but also friends (such as Melody Norman, an American girl who disguises herself as a boy because women aren't allowed to play baseball), step up to bat along the way during Doumu's journey. The Giants seem to winning the fight to conquer the league- until the arrival of the mysterious Don Carlos, a Spanish ex-bullfighter who plays for the Hiroshima Toyo Carp, and seems to have a past with Doumu's father. Will Doumu succeed in giving the league to the Giants? 

(Source: Wikipedia, edited)",Gallop,doumu shinjou 10 year old son legendari deceas player yomiuri giant father inherit love basebal incred talent sport although mother older sister tri get give howev die father time teach one last trick magic shot mother give glove father use doumu make shot train session giant contract immedi support veteran player team giant becom unbeat home none main batter japanes profession leagu overcom magic shot howev away game anoth matter doumu allow play home tokyo dome father consecr new rival also friend melodi norman american girl disguis boy women allow play basebal step bat along way doumu journey giant seem win fight conquer leagu arriv mysteri carlo spanish ex bullfight play hiroshima toyo carp seem past doumu father doumu succeed give leagu giant sourc wikipedia edit sport gallop tv
Hai! Akko desu,6.68,Romance,https://cdn.myanimelist.net/images/anime/1358/99405.jpg,Winter 1990,TV,The story follows the daily life of a Akko-chan who is a new young wife.,Eiken,stori follow daili life akko chan new young wife romanc eiken tv
Obocchama-kun,6.19,Comedy,https://cdn.myanimelist.net/images/anime/7/53513.jpg,Winter 1990,TV,"Based on the children's award winning manga by Kobayashi Yoshinori, serialized  in Shogakukan's CoroCoro Comic.",Shin-Ei Animation,base children award win manga kobayashi yoshinori serial shogakukan corocoro comic comedi shin ei anim tv
Seton Doubutsuki,6.62,"Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1297/134107.jpg,Winter 1990,TV,"Documentary in which the achievement of Ernest ""Black Wolf"" Thompson is settled in different Episodes. Every single episode is a documentary in which one sort of Animal is described.",Eiken,documentari achiev ernest black wolf thompson settl differ episod everi singl episod documentari one sort anim describ adventur fantasi eiken tv
Momotarou Densetsu,6.25,"Adventure, Comedy",https://cdn.myanimelist.net/images/anime/5/32171.jpg,Winter 1990,TV,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Knack Productions,synopsi inform ad titl help improv databas ad synopsi adventur comedi knack product tv
Shin Bikkuriman,5.7,"Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1727/93730.jpg,Winter 1990,TV,"The battle between angel and devil was finally over and there was peace around the world. One day, Angel Marco finds out that this world would be ruined in the near future. He must search the Holy Stone to save a world!

(Source: Toei Animation)",Toei Animation,battl angel devil final peac around world one day angel marco find world would ruin near futur must search holi stone save world sourc toei anim comedi fantasi toei anim tv
Parasol Henbei,6.28,"Adventure, Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/6/44704.jpg,Winter 1990,TV,"All children dream to have a friend straight from a fairy tale... A little boy opens his closet and finds a strange creature with a parasol sitting in there. Nobody knows how he got there and from what mysterious worlds he is, but it is a fast friendship from the beginning. And nobody can ever know... 

(Source: ANN)",add some,children dream friend straight fairi tale littl boy open closet find strang creatur parasol sit nobodi know got mysteri world fast friendship begin nobodi ever know sourc ann adventur comedi fantasi add tv
Magical Hat,5.68,"Adventure, Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1867/123271.jpg,Winter 1990,TV,"The series stars Hat, the descendant of a hero who fought an evil king and sealed Devildom. Hat falls into Devildom and finds he has to defeat the evil king.

(Source: AniDB)",Studio Pierrot,seri star hat descend hero fought evil king seal devildom hat fall devildom find defeat evil king sourc anidb adventur comedi fantasi studio pierrot tv
Kariage-kun,6.15,"Comedy, Slice of Life",https://cdn.myanimelist.net/images/anime/1686/142951.jpg,Winter 1990,TV,"Based on the same name yonkoma manga by Ueda Masashi, serialized in Weekly Manga Action.

From putting his head of department to embarrasment by announcing to everyone that he has haemmorrhoids through the PA system in a public park to making a whole district dissapointed by putting a notice that there will be a fireworks display, and apparently the only ""display"" is him holding one small fireworks, Kariage-kun tells the amusing everyday life of, well, Kariage-kun. 

His typical victim is his head of department, although anyone (or anything) can become a prey to his irony or sarcasm. The story began and ended with no special beginning or endings, but it is arranged chronologically (in the sense that it follows seasonal changes).

(Source: ANN)",Toei Animation,base name yonkoma manga ueda masashi serial weekli manga action put head depart embarras announc everyon haemmorrhoid pa system public park make whole district dissapoint put notic firework display appar display hold one small firework kariag kun tell amus everyday life well kariag kun typic victim head depart although anyon anyth becom prey ironi sarcasm stori began end special begin end arrang chronolog sens follow season chang sourc ann comedi slice life toei anim tv
Kotowaza House,5.59,"Comedy, Slice of Life",https://cdn.myanimelist.net/images/anime/6/53601.jpg,Winter 1990,TV,"A public service proverb-of-the-week anime.

Peter the salary man lives a very unhealthy lifestyle, starving then bingeing until he feels seek, or slobbing around the house until badgered into taking up exercise, during which he invariably pulls a muscle.

(Source: ANN)",Eiken,public servic proverb week anim peter salari man live unhealthi lifestyl starv bing feel seek slob around hous badger take exercis invari pull muscl sourc ann comedi slice life eiken tv
Manga Hajimete Omoshiro Juku,6.42,Adventure,https://cdn.myanimelist.net/images/anime/13/28065.jpg,Winter 1990,TV,"No synopsis has been added for this series yet.

Click here to update this information.",add some,synopsi ad seri yet click updat inform adventur add tv
Komatsu Sakyou Anime Gekijou,5.84,"Comedy, Sci-Fi, Parody, Space",https://cdn.myanimelist.net/images/anime/7/61619.jpg,Winter 1990,TV,The collection of short SF stories.,Gainax,collect short sf stori comedi sci fi parodi space gainax tv
Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,6.57,"Action, Adventure, Comedy, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/1017/90344.jpg,Winter 1990,Movie,"In his laboratory, biotechnology expert Dr. Kochin gathers the dragon balls intending to free his master Dr. Uirou, a mad scientist hellbent on ruling the world, forever frozen in the never-melting ice of the Tsurumai-Tsuburi Mountains. Attempting to locate the dragon balls, Gohan Son and Oolong arrive at the scene and are ambushed by several creatures known as ""Bio-Men."" Training nearby, Piccolo attempts to save them but is then attacked by three mysterious warriors. When the ice beneath them breaks, it cuts their altercation short, burying Gohan and Oolong within.

After regaining consciousness, they return home to Kame House only to encounter Bio-Men, demanding Muten-Roushi to follow them. Refusing, he easily defeats the creatures, piquing Dr. Kochin's interest. Under the impression of Muten-Roushi being the strongest man in the world, Dr. Kochin takes Bulma hostage, forcing Roushi's agreement to accompany him in mysterious plans involving his master. Who are Dr. Kochin and Dr. Uirou? What even is their purpose?

[Written by MAL Rewrite]",Toei Animation,laboratori biotechnolog expert dr kochin gather dragon ball intend free master dr uirou mad scientist hellbent rule world forev frozen never melt ice tsurumai tsuburi mountain attempt locat dragon ball gohan son oolong arriv scene ambush sever creatur known bio men train nearbi piccolo attempt save attack three mysteri warrior ice beneath break cut alterc short buri gohan oolong within regain conscious return home kame hous encount bio men demand muten roushi follow refus easili defeat creatur piqu dr kochin interest impress muten roushi strongest man world dr kochin take bulma hostag forc roushi agreement accompani mysteri plan involv master dr kochin dr uirou even purpos written mal rewrit action adventur comedi fantasi sci fi toei anim movi
Doraemon Movie 11: Nobita to Animal Planet,7.18,"Adventure, Comedy, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/1220/134141.jpg,Winter 1990,Movie,"Nobita went to a world of animals through the ""Wherever Gas"", the substance to let you travel anywhere, same as the ""Wherever Door"" Doraemon uses. They came across with Chippo, a boy who looks like a dog and very adventurous. A group called Numiges plans on taking over the animal planet. Doraemon and friends plan to stop them with the animal's help.

(Source: ANN)",Shin-Ei Animation,nobita went world anim wherev ga substanc let travel anywher wherev door doraemon use came across chippo boy look like dog adventur group call numig plan take anim planet doraemon friend plan stop anim help sourc ann adventur comedi fantasi sci fi shin ei anim movi
Maroko,6.34,"Comedy, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/1102/134480.jpg,Winter 1990,Movie,Summary for the Gosenzosama Banbanzai! OVA.,Studio Pierrot,summari gosenzosama banbanzai ova comedi drama sci fi studio pierrot movi
Akuma-kun: Youkoso Akuma Land e!!,5.85,"Adventure, Fantasy, Horror, Supernatural",https://cdn.myanimelist.net/images/anime/1234/148922.jpg,Winter 1990,Movie,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Toei Animation,synopsi inform ad titl help improv databas ad synopsi adventur fantasi horror supernatur toei anim movi
Mahoutsukai Sally (Movie),5.92,Comedy,https://cdn.myanimelist.net/images/anime/1559/98764.jpg,Winter 1990,Movie,"This short movie tells the story of Sally, a teenage witch that came to Earth from the Magical Kingdom.

For some mysterious reason, spring has not started yet. Sally and her friends have to find the cause and fix the problem.

(Source: Fuko Ibuki)",Toei Animation,short movi tell stori salli teenag witch came earth magic kingdom mysteri reason spring start yet salli friend find caus fix problem sourc fuko ibuki comedi toei anim movi
Chinpui: Eri-sama Katsudou Daishashin,5.87,Comedy,https://cdn.myanimelist.net/images/anime/11/27735.jpg,Winter 1990,Movie,Chinpui movie.,Shin-Ei Animation,chinpui movi comedi shin ei anim movi
